,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1981-07-01,3260.609,3293.303,6982.609,30319.0,-7.561,3253.048,1740.68,1958.099,40.435,92.267,106.233,14.0,7.4,132.20333333333335,579605556.6666666,132.27333333333334,123.29666666666667
1981-10-01,3280.818,3318.447,6906.529,29911.0,-14.75,3266.068,1762.804,1974.447,41.729,93.767,104.467,13.04,8.2,123.29666666666667,524751853.3333333,132.20333333333335,123.59666666666668
1982-01-01,3274.302,3310.294,6799.233,29384.0,-16.276,3258.0260000000003,1760.84,2014.155,43.117,94.6,103.2,12.0,8.8,123.59666666666668,545361111.6666666,123.29666666666667,115.15666666666665
1982-04-01,3331.972,3372.9,6830.251,29453.0,-4.386,3327.5860000000002,1767.532,2039.645,44.336,95.967,102.233,12.0,9.4,115.15666666666665,594300000.0,123.59666666666668,112.64333333333333
1982-07-01,3366.322,3401.349,6804.139,29265.0,-29.647,3336.675,1781.703,2085.671,45.458,97.633,104.133,10.83,9.9,112.64333333333333,606199999.3333334,115.15666666666665,115.67333333333335
1982-10-01,3402.561,3436.654,6806.857,29205.0,-29.587,3372.974,1809.171,2145.554,46.193,97.933,104.033,9.25,10.7,115.67333333333335,808518517.6666666,112.64333333333333,137.63
1983-01-01,3473.413,3507.464,6896.561,29530.0,-24.548,3448.8650000000002,1826.558,2184.589,47.156,98.0,98.567,8.5,10.4,137.63,1038459258.6666666,115.67333333333335,148.77333333333334
1983-04-01,3578.848,3615.589,7053.5,30140.0,-45.434,3533.4139999999998,1841.608,2249.438,48.629,99.133,96.333,8.5,10.1,148.77333333333334,995364815.3333334,137.63,164.82
1983-07-01,3689.179,3727.046,7194.504,30667.0,-65.2,3623.9790000000003,1873.396,2319.895,50.271,100.1,97.733,8.5,9.4,164.82,1058122220.3333334,148.77333333333334,164.34333333333333
1983-10-01,3794.706,3834.386,7344.597,31233.0,-71.385,3723.321,1843.417,2372.496,52.4,101.1,96.133,8.5,8.5,164.34333333333333,932668518.3333334,164.82,164.96
1984-01-01,3908.054,3945.094,7488.167,31783.0,-95.004,3813.05,1862.955,2418.165,54.216,102.533,100.633,8.5,7.9,164.96,1010757408.0,164.34333333333333,159.88333333333335
1984-04-01,4009.601,4047.14,7617.547,32267.0,-104.301,3905.3,1903.424,2475.876,56.105,103.5,101.1,8.96,7.4,159.88333333333335,1111738889.3333333,164.96,154.59333333333333
1984-07-01,4084.25,4121.606,7690.985,32498.0,-103.847,3980.403,1918.833,2513.523,57.827,104.4,99.433,9.0,7.4,154.59333333333333,1012953703.6666666,159.88333333333335,161.14666666666668
1984-10-01,4148.551,4181.775,7754.117,32686.0,-107.756,4040.7950000000005,1959.121,2561.797,59.404,105.3,96.3,8.73,7.3,161.14666666666668,1103292593.0,154.59333333333333,165.63666666666668
1985-01-01,4230.168,4255.859,7829.26,32941.0,-91.298,4138.87,1980.458,2636.008,60.951,106.267,94.533,8.0,7.2,165.63666666666668,1046020369.3333334,161.14666666666668,180.49
1985-04-01,4294.887,4322.557,7898.194,33161.0,-114.445,4180.442,2024.41,2681.764,62.338,107.233,95.667,7.77,7.3,180.49,1300262962.0,165.63666666666668,187.07666666666668
1985-07-01,4386.773,4409.267,8018.809,33581.0,-116.895,4269.878,2070.55,2754.148,63.63,107.9,94.867,7.5,7.2,187.07666666666668,1194299998.3333333,180.49,187.21
